Country,EdLevel,YearsCodePro,Salary,DevType,LanguageHaveWorkedWith,MiscTechHaveWorkedWith,WebframeHaveWorkedWith
15,1,4.0,40000.0,0,0,2,5
2,0,22.0,40085.0,5,0,0,2
15,0,4.0,84000.0,0,0,0,5
4,0,0.5,18804.0,0,0,2,3
4,3,10.0,54480.0,0,0,4,5
3,2,2.0,50806.0,5,0,4,5
2,0,20.0,98321.0,0,0,4,3
3,2,4.0,18804.0,5,0,4,3
14,0,16.0,55582.0,5,0,0,0
15,0,3.0,90000.0,4,0,2,5
6,2,11.0,54049.0,0,0,1,3
15,0,6.0,86000.0,5,0,0,3
1,0,16.0,27492.0,0,0,2,5
6,1,3.0,25944.0,0,0,2,2
15,0,6.0,65000.0,5,0,0,5
5,0,15.0,39093.0,8,0,0,2
10,2,12.0,33972.0,5,0,0,0
14,2,29.0,74970.0,5,0,0,5
15,1,12.0,67920.0,5,0,0,5
15,0,15.0,135000.0,5,0,0,5
3,0,12.0,35028.0,5,0,0,2
3,2,15.0,45401.0,0,0,0,5
4,2,10.0,58373.0,0,0,2,3
15,0,20.0,72000.0,0,0,0,3
3,2,8.0,81074.0,0,2,1,2
3,2,3.0,50806.0,1,0,2,1
14,1,2.0,24559.0,0,0,0,2
14,1,11.0,64630.0,0,0,2,2
15,2,4.0,86000.0,0,0,0,0
15,0,4.0,75000.0,0,0,4,3
15,0,5.0,230000.0,0,0,0,5
6,2,3.0,34591.0,2,5,2,2
8,2,11.0,82155.0,5,0,2,5
4,1,4.0,59454.0,0,2,2,5
2,0,6.0,60505.0,5,0,0,5
7,3,16.0,100000.0,0,0,2,2
15,0,6.0,106000.0,5,0,2,5
3,2,15.0,59930.0,4,0,2,5
4,1,1.0,12972.0,0,0,0,0
15,2,15.0,185000.0,0,0,0,5
15,0,6.0,115000.0,0,0,0,5
15,0,13.0,85000.0,5,0,2,5
15,0,8.0,144000.0,0,0,0,5
5,2,12.0,30716.0,5,0,0,5
9,2,10.0,36444.0,7,5,2,1
15,1,4.0,102000.0,5,0,0,3
14,0,14.0,122796.0,0,0,4,4
12,2,18.0,58296.0,5,0,0,5
15,0,11.0,165000.0,0,0,2,3
12,1,7.0,55224.0,0,0,0,3
15,0,2.0,100000.0,5,0,0,5
6,1,5.0,32429.0,0,0,4,5
15,1,17.0,210000.0,0,0,4,4
2,0,5.0,86976.0,5,0,0,5
2,0,7.0,60505.0,4,2,4,5
15,1,3.0,148000.0,5,2,2,3
5,0,12.0,20943.0,0,0,0,5
15,0,8.0,105000.0,0,0,0,2
15,0,8.0,72000.0,0,0,0,5
3,2,7.0,64859.0,5,0,4,3
4,1,0.5,33732.0,0,0,0,2
15,2,23.0,215000.0,5,0,0,5
14,0,18.0,109871.0,0,0,0,5
9,1,2.0,15192.0,4,0,4,5
15,2,19.0,195000.0,0,0,0,5
15,1,2.0,100000.0,0,0,0,0
1,0,10.0,16488.0,0,0,2,5
13,1,2.0,35508.0,5,0,4,5
15,1,4.0,104000.0,5,0,0,5
2,2,5.0,68068.0,5,0,2,5
11,1,1.0,16860.0,4,2,3,3
15,0,3.0,70000.0,0,0,0,3
12,1,15.0,73644.0,0,0,0,5
5,0,4.0,13962.0,8,5,2,1
5,0,10.0,55847.0,0,0,0,5
3,3,11.0,55130.0,0,0,1,5
3,2,7.0,18156.0,8,0,2,2
5,1,5.0,18150.0,5,0,4,5
14,2,3.0,42009.0,0,0,0,5
3,2,9.0,51887.0,0,0,1,0
15,0,20.0,105000.0,2,0,0,2
8,0,7.0,72426.0,0,0,0,5
3,2,5.0,48644.0,1,2,2,1
14,2,6.0,90482.0,4,0,4,5
3,1,12.0,81074.0,4,2,4,3
1,0,2.0,9624.0,5,0,4,5
15,2,11.0,106000.0,5,0,2,3
15,1,15.0,225000.0,0,0,2,4
5,0,4.0,11169.0,7,2,4,3
8,1,4.0,43239.0,0,0,0,2
4,0,3.0,75669.0,0,0,0,5
1,0,11.0,120000.0,0,0,2,3
1,0,11.0,34356.0,0,0,0,5
1,0,20.0,170000.0,0,0,4,5
15,0,4.0,180000.0,5,0,2,4
15,0,1.0,100000.0,0,2,2,0
8,0,12.0,81074.0,0,0,2,5
12,0,5.0,55224.0,0,0,0,3
13,0,1.0,9864.0,5,0,2,3
15,2,5.0,103000.0,8,0,2,5
15,2,7.0,55000.0,8,0,2,2
15,0,3.0,85000.0,8,0,2,2
15,0,21.0,100000.0,0,0,3,5
15,2,1.0,150000.0,0,0,2,5
11,0,11.0,68642.0,8,5,2,0
15,1,10.0,180000.0,0,0,4,5
8,2,8.0,43239.0,5,0,2,5
15,0,5.0,115000.0,5,0,0,0
5,0,4.0,32112.0,0,0,0,5
15,0,10.0,79000.0,0,0,0,5
4,0,7.0,69183.0,3,0,0,5
4,2,22.0,92964.0,0,0,0,3
4,1,6.0,54049.0,2,0,0,2
4,2,5.0,59454.0,0,0,2,0
14,1,4.0,90482.0,7,2,4,2
15,0,1.0,67600.0,5,0,0,5
3,2,13.0,102693.0,0,0,4,3
1,1,6.0,30240.0,0,0,2,3
15,0,12.0,100000.0,0,0,2,5
15,3,6.0,200000.0,0,2,2,3
5,2,15.0,33508.0,5,0,2,5
15,1,3.0,80000.0,5,0,2,5
2,0,2.0,64085.0,5,2,2,3
15,1,2.0,45000.0,5,0,0,5
15,1,10.0,139000.0,5,0,4,5
15,0,17.0,120000.0,8,0,4,5
15,1,11.0,130000.0,0,0,0,5
15,0,2.0,70500.0,5,0,3,3
14,1,14.0,36193.0,0,0,2,2
15,2,17.0,90000.0,8,0,3,5
15,0,5.0,150000.0,5,0,0,3
15,2,8.0,236000.0,0,2,1,1
15,0,22.0,208000.0,5,0,0,2
10,1,13.0,56616.0,5,0,0,5
9,0,3.0,42528.0,4,0,0,3
15,1,5.0,120000.0,0,0,0,2
1,0,2.0,9900.0,0,0,0,5
14,3,7.0,96945.0,0,0,0,2
15,0,4.0,140000.0,0,0,2,2
15,0,8.0,225000.0,8,0,0,2
9,0,5.0,121500.0,0,0,0,3
12,2,13.0,55848.0,5,0,4,5
4,1,10.0,41508.0,0,0,4,0
12,2,12.0,58908.0,5,0,0,5
15,1,32.0,250000.0,5,0,0,5
3,2,3.0,67021.0,8,5,2,1
14,0,2.0,36193.0,7,0,4,3
15,2,3.0,108675.0,1,0,2,5
4,1,9.0,54049.0,0,0,0,0
15,0,6.0,93000.0,0,0,0,5
2,0,30.0,75631.0,0,0,0,5
15,0,12.0,103000.0,5,0,0,0
14,0,14.0,103408.0,8,0,0,3
2,0,4.0,71850.0,5,0,0,3
1,1,7.0,18326.0,4,0,2,5
1,0,2.0,9072.0,0,0,2,3
14,0,2.0,49119.0,0,0,2,3
15,0,8.0,140000.0,0,2,1,3
2,0,10.0,55211.0,5,0,0,5
15,1,9.0,145000.0,0,0,0,3
7,0,8.0,28105.0,0,0,1,3
14,0,3.0,71093.0,4,0,4,5
4,0,2.0,47556.0,0,5,2,3
12,2,12.0,67500.0,5,0,0,5
15,0,18.0,135000.0,5,0,0,5
3,2,17.0,42158.0,0,0,0,5
15,0,5.0,86000.0,0,0,2,1
15,1,3.0,70000.0,8,0,0,5
7,0,3.0,75000.0,0,0,0,3
15,0,29.0,250000.0,0,0,0,2
2,3,9.0,35547.0,5,0,4,3
4,2,12.0,84312.0,4,0,2,5
2,0,7.0,66556.0,0,0,0,3
2,0,15.0,151263.0,0,0,1,0
2,1,21.0,90758.0,0,0,0,2
15,0,15.0,130000.0,5,0,2,1
5,2,3.0,8377.0,0,5,2,1
15,0,8.0,115000.0,5,0,0,5
15,3,14.0,150000.0,0,5,2,5
4,2,21.0,91883.0,6,2,0,3
4,1,2.0,10380.0,5,0,4,5
15,1,13.0,110000.0,0,0,0,3
15,1,24.0,155000.0,0,0,0,0
15,0,3.0,100000.0,5,0,0,5
15,0,5.0,95000.0,5,0,4,3
15,0,5.0,130000.0,5,0,2,5
15,0,9.0,120000.0,0,0,0,5
15,0,2.0,73000.0,5,0,2,5
1,0,3.0,13744.0,5,0,2,5
3,0,3.0,43239.0,0,0,0,0
14,0,23.0,71093.0,0,0,0,2
11,1,7.0,25944.0,8,0,2,4
2,1,12.0,64287.0,5,0,0,5
1,3,3.0,58167.0,5,0,2,3
15,0,4.0,70000.0,0,0,0,5
15,0,12.0,110000.0,0,0,0,4
11,2,3.0,21620.0,8,2,2,3
15,2,9.0,105000.0,5,0,0,3
15,0,8.0,130000.0,0,0,0,0
3,2,3.0,32424.0,5,0,2,3
2,0,10.0,182271.0,4,2,2,4
15,0,3.0,75000.0,0,0,2,0
13,0,5.0,16800.0,5,0,0,5
15,0,6.0,64584.0,5,0,0,5
15,1,24.0,155000.0,0,0,0,0
15,0,9.0,104000.0,0,0,0,5
0,0,5.0,86853.0,0,2,4,5
2,0,4.0,85000.0,5,0,0,5
15,0,11.0,115000.0,0,0,3,5
15,0,8.0,99000.0,5,0,0,0
4,2,10.0,77831.0,3,0,4,0
15,2,23.0,165000.0,0,0,2,2
2,1,5.0,141000.0,5,0,4,5
15,0,22.0,130000.0,5,0,0,0
15,0,25.0,200000.0,5,0,0,5
15,1,1.0,70000.0,3,0,0,2
15,1,7.0,120000.0,5,0,4,5
15,0,5.0,96000.0,8,0,0,2
9,1,0.5,12756.0,0,0,2,5
15,0,3.0,200000.0,1,0,2,3
14,0,18.0,180963.0,5,0,2,3
15,1,33.0,90000.0,5,0,0,5
14,2,4.0,31020.0,1,0,2,1
2,0,1.0,49160.0,5,0,2,3
5,0,2.0,25131.0,5,2,4,3
15,0,6.0,90000.0,5,0,0,5
13,2,14.0,39444.0,0,0,1,5
8,2,25.0,77832.0,0,0,0,0
2,0,8.0,28350.0,0,0,0,3
4,1,10.0,110260.0,0,5,3,1
15,0,42.0,120000.0,0,0,0,0
15,2,15.0,150000.0,0,0,2,1
15,0,3.0,90000.0,0,0,0,0
8,2,8.0,48000.0,0,0,0,3
2,1,0.5,31009.0,5,0,4,4
15,2,16.0,170000.0,5,0,3,3
5,0,3.0,16754.0,0,0,2,3
5,0,2.0,29320.0,3,0,2,2
6,1,4.0,37485.0,5,0,4,3
2,1,10.0,45400.0,5,0,0,5
15,0,6.0,100000.0,8,0,0,0
5,0,4.0,20100.0,1,5,2,5
15,0,1.0,38400.0,0,0,2,1
2,0,12.0,67645.0,0,0,0,3
9,2,6.0,47988.0,5,0,0,2
15,0,40.0,120000.0,0,0,0,5
15,2,10.0,100000.0,5,0,2,5
14,1,7.0,87896.0,5,0,0,5
1,1,4.0,13740.0,5,0,2,5
15,1,33.0,210000.0,0,0,0,5
13,2,12.0,39444.0,0,2,4,3
